epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1735.93,0.98801,0.79351,1.11864,0.77195,0.66802,0.73299,0.56768,0.74174,0.74144,1.00172,0.000187914,0.000187914,0.000187914
64,1763.23,1.00699,0.81498,1.12592,0.77577,0.64746,0.72229,0.55566,0.76109,0.76121,1.00753,0.00018297,0.00018297,0.00018297
65,1790.51,0.992,0.78982,1.1126,0.76017,0.67378,0.73094,0.56807,0.74738,0.73012,1.01618,0.000178027,0.000178027,0.000178027
66,1817.7,0.99916,0.79196,1.1176,0.75682,0.68302,0.72648,0.56341,0.74897,0.76718,1.01139,0.000173083,0.000173083,0.000173083
67,1844.84,0.98965,0.78825,1.11866,0.77216,0.66352,0.73284,0.56986,0.75113,0.75155,1.01994,0.00016814,0.00016814,0.00016814
68,1872.69,0.98533,0.7844,1.1239,0.78546,0.65252,0.72596,0.56864,0.72965,0.77824,0.9994,0.000163196,0.000163196,0.000163196
69,1899.92,0.98348,0.78454,1.10956,0.78732,0.66896,0.72919,0.5661,0.73911,0.73861,1.00831,0.000158252,0.000158252,0.000158252
70,1927.24,0.98556,0.78804,1.11917,0.78139,0.67175,0.73586,0.57084,0.74678,0.75192,1.01445,0.000153309,0.000153309,0.000153309
71,1954.68,0.97906,0.77102,1.10796,0.80433,0.66842,0.73813,0.57215,0.7506,0.75403,1.01679,0.000148365,0.000148365,0.000148365
72,1982.38,0.96539,0.75639,1.1046,0.77389,0.66257,0.72981,0.57331,0.74162,0.73952,1.01131,0.000143422,0.000143422,0.000143422
73,2009.77,0.96303,0.75555,1.10469,0.80594,0.65207,0.73159,0.57423,0.73621,0.77209,1.01275,0.000138478,0.000138478,0.000138478
74,2037.17,0.96143,0.75141,1.0982,0.80292,0.6582,0.73807,0.5781,0.73627,0.74048,1.00891,0.000133534,0.000133534,0.000133534
75,2064.41,0.96649,0.76887,1.1081,0.79571,0.64541,0.72953,0.57135,0.72367,0.75185,1.00531,0.000128591,0.000128591,0.000128591
76,2091.87,0.95675,0.7481,1.0952,0.78675,0.6575,0.73554,0.57851,0.73748,0.76394,1.01035,0.000123647,0.000123647,0.000123647
77,2119.2,0.93581,0.75241,1.09542,0.7792,0.65465,0.73766,0.57905,0.72138,0.74784,1.00099,0.000118704,0.000118704,0.000118704
78,2146.71,0.95066,0.73521,1.09397,0.76243,0.65288,0.72909,0.57503,0.72697,0.77026,1.00675,0.00011376,0.00011376,0.00011376
79,2174.01,0.95919,0.73584,1.09481,0.81152,0.64522,0.72693,0.57404,0.72627,0.77468,1.00992,0.000108817,0.000108817,0.000108817
80,2201.15,0.942,0.73724,1.09453,0.8155,0.65097,0.73796,0.57704,0.72226,0.74142,1.00466,0.000103873,0.000103873,0.000103873
81,2228.24,0.95023,0.72835,1.08745,0.81194,0.64602,0.73591,0.57929,0.72451,0.76255,1.00532,9.89293e-05,9.89293e-05,9.89293e-05
82,2255.62,0.93999,0.7221,1.08599,0.80119,0.65508,0.7403,0.58212,0.72298,0.76085,1.00368,9.39857e-05,9.39857e-05,9.39857e-05
83,2283.26,0.92449,0.72442,1.08867,0.77564,0.68243,0.73643,0.57851,0.72498,0.7484,1.002,8.90421e-05,8.90421e-05,8.90421e-05
84,2310.53,0.9277,0.71915,1.08029,0.79453,0.65545,0.74178,0.58182,0.7258,0.75434,1.00456,8.40985e-05,8.40985e-05,8.40985e-05
85,2337.73,0.92439,0.70648,1.07933,0.78038,0.6663,0.73559,0.57791,0.7183,0.74864,0.99966,7.91549e-05,7.91549e-05,7.91549e-05
86,2365.67,0.93072,0.71927,1.08049,0.79239,0.65288,0.74404,0.58768,0.7155,0.74059,0.99541,7.42113e-05,7.42113e-05,7.42113e-05
87,2393.81,0.92057,0.71274,1.08207,0.7762,0.66712,0.74001,0.58248,0.71742,0.73835,0.99794,6.92678e-05,6.92678e-05,6.92678e-05
88,2421,0.9136,0.70106,1.07732,0.77953,0.66892,0.74246,0.58968,0.71177,0.74009,0.99599,6.43242e-05,6.43242e-05,6.43242e-05
89,2448.34,0.9113,0.69725,1.07668,0.81059,0.64121,0.73658,0.5853,0.71371,0.7348,1.00025,5.93806e-05,5.93806e-05,5.93806e-05
90,2475.75,0.9131,0.6968,1.07608,0.78398,0.66979,0.73796,0.58594,0.71469,0.74118,1.0039,5.4437e-05,5.4437e-05,5.4437e-05
91,2503.46,0.6527,0.413,0.92135,0.82388,0.64264,0.7381,0.58473,0.71185,0.74907,1.00117,4.94934e-05,4.94934e-05,4.94934e-05
92,2530.28,0.63503,0.3848,0.91505,0.77944,0.66558,0.73981,0.58846,0.70753,0.76033,1.00138,4.45498e-05,4.45498e-05,4.45498e-05
93,2557.16,0.63142,0.38053,0.9188,0.78287,0.66563,0.74024,0.58762,0.70609,0.75724,1.0021,3.96062e-05,3.96062e-05,3.96062e-05
94,2584.14,0.61674,0.36913,0.9113,0.79568,0.65469,0.73698,0.58639,0.70343,0.77042,1.0026,3.46626e-05,3.46626e-05,3.46626e-05
95,2610.84,0.61815,0.36827,0.90653,0.77735,0.66929,0.73891,0.58753,0.70623,0.76845,1.0018,2.9719e-05,2.9719e-05,2.9719e-05
96,2637.47,0.60982,0.36401,0.90454,0.77506,0.67236,0.7383,0.58883,0.69903,0.76384,1.00055,2.47754e-05,2.47754e-05,2.47754e-05
97,2664.11,0.60803,0.36418,0.90373,0.7879,0.65873,0.73723,0.59064,0.7012,0.77259,1.00135,1.98318e-05,1.98318e-05,1.98318e-05
98,2691.35,0.60154,0.36523,0.90489,0.77672,0.66404,0.73761,0.591,0.69889,0.77321,1.00231,1.48882e-05,1.48882e-05,1.48882e-05
99,2718.36,0.601,0.35905,0.9047,0.77221,0.66823,0.73603,0.59113,0.70041,0.78117,1.00222,9.94461e-06,9.94461e-06,9.94461e-06
100,2745.03,0.59057,0.34924,0.89839,0.77069,0.66879,0.73752,0.5936,0.69827,0.77251,1.00111,5.00102e-06,5.00102e-06,5.00102e-06
